State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
Kansas,128,415,0,1,25,265,110,45,197,99,16,244,91,11,10,3,2,1,0
Ohio,107,415,0,1,26,161,123,27,195,103,16,254,103,11,13,3,3,1,0
New Jersey,137,415,0,0,0,243,114,41,121,110,10,162,104,7,12,5,3,0,0
Oklahoma,75,415,1,0,0,166,113,28,148,122,12,186,121,8,10,3,2,3,0
Alabama,118,510,1,0,0,223,98,37,220,101,18,203,118,9,6,6,1,0,0
Missouri,147,415,1,0,0,157,79,26,103,94,8,211,96,9,7,6,1,0,0
West Virginia,141,415,1,1,37,258,84,43,222,111,18,326,97,14,11,5,3,0,0
Rhode Island,74,415,0,0,0,187,127,31,163,148,13,196,94,8,9,5,2,0,0
Iowa,168,408,0,0,0,128,96,21,104,71,8,141,128,6,11,2,3,1,0
Montana,95,510,0,0,0,156,88,26,247,75,21,192,115,8,12,5,3,3,0
Iowa,62,415,0,0,0,120,70,20,307,76,26,203,99,9,13,6,3,4,0
Idaho,85,408,0,1,27,196,139,33,280,90,23,89,75,4,13,4,3,1,0
Vermont,93,510,0,0,0,190,114,32,218,111,18,129,121,5,8,3,2,3,0
Virginia,76,510,0,1,33,189,66,32,212,65,18,165,108,7,10,5,2,1,0
Texas,73,415,0,0,0,224,90,38,159,88,13,192,74,8,13,2,3,1,0
Florida,147,415,0,0,0,155,117,26,239,93,20,208,133,9,10,4,2,0,0
Colorado,77,408,0,0,0,62,89,10,169,121,14,209,64,9,5,6,1,5,1
Arizona,130,415,0,0,0,183,112,31,72,99,6,181,78,8,9,19,2,0,0
Virginia,132,510,0,0,0,81,86,13,245,72,20,237,115,10,10,2,2,0,0
Nebraska,174,415,0,0,0,124,76,21,277,112,23,250,115,11,15,5,4,3,0
Wyoming,57,408,0,1,39,213,115,36,191,112,16,182,115,8,9,3,2,0,0
Montana,54,408,0,0,0,134,73,22,155,100,13,102,68,4,14,4,3,3,0
Missouri,20,415,0,0,0,190,109,32,258,84,21,181,102,8,6,6,1,0,0
Illinois,142,415,0,0,0,84,95,14,136,63,11,250,148,11,14,6,3,2,0
New Hampshire,75,510,0,0,0,226,105,38,201,107,17,246,98,11,10,5,2,1,0
Arizona,12,408,0,0,0,249,118,42,252,119,21,280,90,12,11,3,3,1,1
Oklahoma,57,408,0,1,25,176,94,30,195,75,16,213,116,9,8,4,2,0,0
Georgia,72,415,0,1,37,220,80,37,217,102,18,152,71,6,14,6,3,3,0
Massachusetts,78,415,0,0,0,130,64,22,223,116,19,227,108,10,10,5,2,1,0
Alaska,136,415,1,1,33,203,106,34,187,99,15,101,107,4,10,6,2,3,0
New Jersey,149,408,0,0,0,140,94,23,271,92,23,188,108,8,11,9,3,1,0
Georgia,98,408,0,0,0,126,102,21,166,85,14,187,135,8,9,2,2,3,0
Maryland,135,408,1,1,41,173,85,29,203,107,17,122,78,5,14,15,3,0,1
Arkansas,34,510,0,0,0,124,82,21,282,98,23,311,78,14,10,4,2,2,0
Idaho,160,415,0,0,0,85,77,14,165,110,14,178,92,8,9,4,2,3,0
Wisconsin,64,510,0,0,0,154,67,26,225,118,19,265,86,11,3,3,0,1,0
Oregon,59,408,0,1,28,120,97,20,213,92,18,163,116,7,8,5,2,2,0
Delaware,142,408,0,0,0,187,133,31,134,74,11,242,127,10,7,5,2,2,0
Wyoming,97,415,0,1,24,133,135,22,217,58,18,70,79,3,11,3,2,1,0
Iowa,52,408,0,0,0,191,108,32,269,96,22,236,87,10,7,5,2,3,0
Indiana,60,408,0,0,0,220,57,37,211,115,17,249,129,11,6,3,1,1,0
Utah,96,415,0,0,0,160,117,27,267,67,22,228,68,10,9,5,2,2,0
Wyoming,87,415,0,0,0,151,83,25,219,116,18,203,127,9,9,3,2,5,1
Indiana,81,408,0,0,0,175,67,29,249,85,21,270,98,12,10,3,2,1,0
Colorado,141,415,0,0,0,126,98,21,180,62,15,140,128,6,8,2,2,1,0
Colorado,121,408,0,1,30,198,129,33,75,77,6,181,77,8,5,3,1,3,1
Oklahoma,125,408,0,0,0,229,103,38,177,126,15,189,95,8,12,8,3,1,0
Idaho,174,408,0,0,0,192,97,32,169,94,14,166,54,7,11,4,3,1,0
California,116,415,0,1,34,268,83,45,178,142,15,166,106,7,11,3,3,2,0
South Dakota,149,408,0,1,28,180,92,30,187,64,15,265,53,11,12,3,3,3,0
North Carolina,38,408,0,0,0,131,98,22,162,97,13,159,106,7,8,6,2,2,0
Washington,40,415,0,1,41,148,74,25,169,88,14,214,102,9,6,5,1,2,0
Wyoming,43,415,1,0,0,251,105,42,212,104,18,157,67,7,9,4,2,0,0
Minnesota,113,408,1,0,0,125,93,21,206,119,17,129,139,5,8,8,2,0,0
Utah,126,408,0,0,0,211,70,35,216,80,18,153,60,6,7,1,2,1,0
Texas,150,510,0,0,0,178,101,30,169,110,14,148,100,6,13,3,3,4,1
New Jersey,138,408,0,0,0,241,93,41,170,83,14,295,104,13,11,7,3,3,0
Minnesota,162,510,0,1,46,224,97,38,188,84,16,254,61,11,12,2,3,0,0
New Mexico,147,510,0,0,0,248,83,42,148,85,12,172,109,7,8,4,2,3,0
Nevada,90,415,0,0,0,203,146,34,226,117,19,152,105,6,7,4,1,1,0
Minnesota,50,415,0,0,0,157,90,26,223,72,18,181,111,8,6,2,1,1,0
District of Columbia,82,415,0,0,0,300,109,51,181,100,15,270,73,12,11,4,3,0,1
New York,144,408,0,0,0,61,117,10,77,85,6,173,99,7,8,7,2,4,1
Maryland,70,408,0,0,0,170,98,28,155,102,13,228,76,10,15,2,4,1,0
West Virginia,144,415,0,0,0,201,99,34,303,74,25,224,119,10,13,2,3,1,0
Oregon,116,415,1,0,0,215,104,36,204,79,17,278,109,12,12,5,3,3,0
Colorado,55,408,0,1,25,165,123,28,136,95,11,175,90,7,11,2,2,3,0
Georgia,70,415,0,1,24,249,101,42,259,98,22,222,68,10,9,4,2,1,0
Texas,106,510,0,0,0,210,96,35,249,85,21,191,88,8,12,1,3,2,1
Indiana,94,408,0,0,0,157,105,26,155,101,13,189,84,8,8,5,2,4,1
West Virginia,111,510,0,0,0,214,118,36,208,76,17,182,98,8,12,2,3,1,0
Kentucky,74,415,0,1,35,154,104,26,123,84,10,202,57,9,10,9,2,2,0
New Jersey,128,415,0,0,0,237,125,40,247,93,21,208,68,9,13,4,3,1,1
District of Columbia,82,510,0,0,0,143,61,24,194,105,16,109,94,4,11,2,3,1,0
Arkansas,80,415,0,0,0,124,100,21,173,107,14,253,62,11,7,9,2,1,0
Maine,78,415,0,0,0,252,93,42,178,112,15,263,105,11,9,7,2,3,0
Arizona,90,415,0,0,0,179,71,30,190,81,16,127,91,5,10,7,2,3,0
Alaska,104,408,0,0,0,278,106,47,81,113,6,163,137,7,9,5,2,1,0
Arizona,99,415,0,0,0,198,87,33,207,76,17,190,113,8,8,3,2,4,0
Mississippi,120,408,0,0,0,212,131,36,209,104,17,167,96,7,5,5,1,1,1
Iowa,98,510,0,1,21,161,114,27,252,83,21,160,92,7,4,8,1,4,0
Vermont,135,415,0,0,0,151,82,25,119,105,10,180,100,8,10,6,2,0,0
Indiana,122,408,0,0,0,170,94,28,173,109,14,248,75,11,11,2,3,1,0
Arizona,95,408,0,0,0,238,65,40,187,98,15,190,115,8,11,4,3,4,0
New Mexico,93,510,0,1,21,117,131,20,164,115,13,217,86,9,9,3,2,1,0
Utah,157,408,0,0,0,229,90,39,147,121,12,241,108,10,9,7,2,3,0
Michigan,120,408,0,0,0,165,100,28,317,83,26,119,86,5,8,8,2,1,0
Massachusetts,103,415,0,0,0,185,117,31,223,94,18,222,91,10,12,2,3,2,0
Alabama,98,408,0,0,0,161,117,27,190,113,16,227,113,10,12,4,3,4,0
Delaware,125,408,0,0,0,126,108,21,206,90,17,247,114,11,13,7,3,1,0
Maine,36,510,1,1,42,196,89,33,254,122,21,138,126,6,20,6,5,0,1
Nevada,74,415,0,0,0,282,114,48,219,48,18,170,115,7,9,4,2,1,1
Missouri,112,510,0,1,36,113,117,19,157,82,13,177,118,7,10,3,2,2,0
Nebraska,46,408,0,0,0,210,92,35,227,77,19,200,116,9,13,7,3,1,0
Texas,41,408,0,1,22,213,102,36,141,86,12,142,123,6,7,3,1,0,0
Maryland,121,510,0,0,0,190,103,32,183,117,15,220,103,9,9,4,2,3,0
Mississippi,193,415,0,0,0,170,124,29,132,95,11,112,89,5,11,3,3,1,0
Nevada,130,510,0,0,0,154,119,26,110,98,9,227,117,10,9,5,2,2,0
Arizona,85,408,0,0,0,201,52,34,229,104,19,252,106,11,12,3,3,1,0
Mississippi,162,415,0,0,0,70,108,12,157,87,13,154,82,6,9,3,2,4,1
Mississippi,61,510,0,1,27,187,124,31,146,103,12,225,129,10,6,6,1,4,1
Texas,92,408,0,0,0,91,90,15,193,123,16,175,86,7,9,4,2,2,0
Nebraska,131,408,0,1,36,214,115,36,161,117,13,264,102,11,9,4,2,3,0
Nebraska,90,415,0,0,0,145,92,24,217,114,18,146,123,6,10,2,2,3,0
New Jersey,78,415,0,0,0,231,115,39,230,140,19,261,120,11,9,3,2,1,0
Texas,82,408,0,0,0,200,96,34,201,102,17,206,60,9,7,1,1,4,0
Arkansas,163,408,0,0,0,197,109,33,202,128,17,206,80,9,9,10,2,1,0
Alabama,91,510,1,0,0,129,112,22,173,83,14,247,130,11,11,3,3,3,0
New York,75,415,0,1,21,175,97,29,217,106,18,237,134,10,5,4,1,5,0
Florida,91,510,0,0,0,203,106,34,210,113,17,195,129,8,12,3,3,3,0
Alaska,127,510,0,1,36,183,117,31,126,76,10,263,71,11,11,8,3,1,0
Nevada,113,415,0,1,23,205,101,34,152,60,12,158,59,7,10,5,2,2,0
Delaware,110,510,0,0,0,148,115,25,276,84,23,193,112,8,12,3,3,1,0
Maryland,120,415,0,1,39,200,68,34,220,97,18,253,116,11,10,4,2,0,0
Michigan,157,415,0,1,28,192,107,32,195,74,16,109,139,4,6,5,1,3,0
Vermont,103,510,0,0,0,246,47,41,195,84,16,200,96,9,11,4,3,1,0
Vermont,117,408,1,0,0,167,86,28,177,87,15,249,132,11,14,7,3,2,1
Michigan,140,415,0,0,0,231,101,39,160,94,13,110,98,4,14,6,3,3,0
Utah,83,408,1,0,0,271,87,46,216,126,18,121,105,5,11,4,3,1,0
Rhode Island,145,408,0,1,43,257,97,43,162,95,13,286,86,12,11,4,3,2,0
Iowa,113,408,0,0,0,193,99,32,221,125,18,172,67,7,10,6,2,1,0
Rhode Island,56,415,0,0,0,226,112,38,248,118,21,140,142,6,6,11,1,1,0
Louisiana,151,408,0,0,0,178,116,30,292,138,24,265,101,11,9,4,2,0,0
Virginia,139,510,0,1,23,157,129,26,247,96,21,259,112,11,13,2,3,0,0
Florida,115,510,0,1,24,142,124,24,183,129,15,164,114,7,9,4,2,1,0
South Carolina,87,415,0,0,0,136,97,23,172,108,14,137,101,6,7,5,1,0,0
Virginia,141,415,0,0,0,217,110,36,241,111,20,253,103,11,12,6,3,0,0
Iowa,141,510,0,1,36,187,99,31,241,116,20,229,105,10,10,5,2,3,0
Michigan,62,415,0,0,0,98,103,16,135,122,11,236,82,10,12,1,3,1,0
Oklahoma,146,415,0,0,0,206,151,35,148,89,12,167,91,7,6,3,1,1,0
Delaware,92,415,0,1,33,243,92,41,213,92,18,228,104,10,12,2,3,2,0
Georgia,185,510,0,1,31,189,126,32,163,133,13,264,126,11,7,3,2,1,0
District of Columbia,148,415,0,0,0,202,102,34,243,128,20,261,90,11,10,3,2,1,0
Arizona,94,408,0,1,38,170,124,28,193,116,16,105,73,4,12,4,3,1,0
Colorado,68,408,0,0,0,237,105,40,223,105,19,97,79,4,13,2,3,1,0
Louisiana,179,408,0,0,0,219,92,37,149,125,12,244,104,11,6,5,1,0,0
Nebraska,94,415,0,0,0,252,104,42,169,125,14,170,106,7,11,7,3,2,0
Minnesota,62,415,0,0,0,147,91,25,190,107,16,195,115,8,12,3,3,0,0
Arkansas,116,408,0,0,0,173,93,29,194,76,16,208,112,9,16,10,4,3,0
Kansas,70,408,0,0,0,232,122,39,292,112,24,201,112,9,0,0,0,3,0
West Virginia,94,510,1,1,23,197,125,33,214,136,18,282,103,12,9,5,2,4,0
