,0
High service calls,3.301586999352379
Avg minutes per call,2.4959368343414075
International plan,2.2095085472789844
Voice mail plan,1.1248567610299702
Has All Plans,0.7583407296770398
Total night charge,0.4997099106224939
Total day charge,0.41822113155247603
Total eve charge,0.16591854140968185
Cost per minute,0.1595402588927877
Cost per minute intl,0.15712271158231852
Total intl charge,0.1386895188097046
zero_vmail_messages,0.09875380879846753
Total intl minutes,0.08452144359050118
Total national charge,0.08442976234296237
Customer service calls,0.0685186894730802
Avg int minutes per call,0.06740082875603624
Total day minutes,0.053072916347947405
Total night minutes,0.04042302408916478
Total intl calls,0.023006716339453524
Total national calls,0.01710715738124987
Total national minutes,0.008996955157751108
Total eve minutes,0.003652937100860504
